dt,Count
"Developer, full-stack",42222
"Developer, back-end",40665
"Developer, front-end",26649
"Developer, desktop or enterprise applications",17316
"Developer, mobile",14698
Student,11921
Database administrator,9520
Designer,9182
System administrator,8929
DevOps specialist,8862
NA,7548
"Developer, embedded applications or devices",7248
Data scientist or machine learning specialist,6460
"Developer, QA or test",6359
Data or business analyst,6294
Academic researcher,5930
"Engineer, data",5819
Educator,4492
"Developer, game or graphics",4439
Engineering manager,4202
Product manager,4032
Scientist,3617
"Engineer, site reliability",2951
Senior executive/VP,2107
Marketing or sales professional,975
