dt,Count
"Developer, full-stack",5174
"Developer, back-end",5010
"Developer, front-end",2976
"Developer, desktop or enterprise applications",2186
"Developer, mobile",1860
DevOps specialist,1425
Database administrator,1126
System administrator,1025
Designer,1020
Data scientist or machine learning specialist,968
"Developer, embedded applications or devices",923
Data or business analyst,902
"Engineer, data",884
"Developer, QA or test",871
Engineering manager,746
Student,741
Academic researcher,736
Product manager,652
Educator,609
"Engineer, site reliability",449
"Developer, game or graphics",436
Scientist,428
Senior executive/VP,377
NA,182
Marketing or sales professional,136
